chinese,pinyin,translation
听,tīng,"hear; understand; obey, comply"
住,zhù,"reside, live at, dwell, lodge; stop"
北,běi,north; northern; northward
觉,jué,to wake up from sleep; conscious
师,shī,"teacher, master, specialist"
今,jīn,"now, today, modern era"
院,yuàn,"courtyard, yard, court; school"
识,shí,"recognize, understand, know"
候,hòu,wait; expect; visit; greet
飞,fēi,fly; go quickly; dart; high
车,chē,"cart, vehicle; carry in cart"
服,fú,"clothes; wear, dress"
怎,zěn,what? why? how?
呢,ne,interrogative or emphatic final; (Cant.) this
叫,jiào,"cry, shout; hail, greet, call"
影,yǐng,"shadow; image, reflection; photograph"
字,zì,"letter, character, word"
爱,ài,"love, be fond of, like"
商,shāng,"commerce, business, trade"
请,qǐng,"ask, request; invite; please"
视,shì,"look at, inspect, observe, see"
九,jiǔ,nine
写,xiě,"write; draw, sketch; compose"
八,bā,"eight; all around, all sides"
吗,ma,final interrogative particle
吃,chī,"eat; drink; suffer, endure, bear"
六,liù,number six
医,yī,"cure, heal; doctor, medical"
号,hào,"mark, sign; symbol; number"
语,yǔ,"language, words; saying, expression"
七,qī,seven
兴,xìng,"thrive, prosper, flourish"
星,xīng,"a star, planet; any point of light"
京,jīng,capital city
米,mǐ,hulled or husked uncooked rice
客,kè,"guest, traveller; customer"
友,yǒu,"friend, companion; fraternity"
钱,qián,"money, currency, coins"
热,rè,hot; heat; fever; restless; zeal
坐,zuò,"sit; seat; ride, travel by"
校,xiào,school; military field officer
脑,nǎo,brain
谁,shuí,who? whom? whose? anyone?
哪,nǎ,which? where? how?
喜,xǐ,"like, love, enjoy; joyful thing"
习,xí,practice; flapping wings
欢,huān,"happy, pleased, glad; joy; enjoy"
冷,lěng,"cold, cool; lonely"
汉,hàn,Chinese people; Chinese language
衣,yī,"clothes, clothing; cover, skin"
妈,mā,"mother, mama"
读,dú,"read, study; pronounce"
买,mǎi,"buy, purchase; bribe, persuade"
岁,suì,year; age; harvest
块,kuài,"piece, lump; dollar"
姐,jiě,"elder sister, young lady"
亮,liàng,"bright, brilliant, radiant, light"
朋,péng,"friend, pal, acquaintance"
谢,xiè,thank; decline
钟,zhōng,clock; bell
雨,yǔ,rain; rainy; KangXi radical 173
饭,fàn,"cooked rice; food, meal"
睡,shuì,"sleep, doze"
喝,hē,"drink; shout, call out"
午,wǔ,noon; 7th terrestrial branch
店,diàn,"shop, store; inn, hotel"
爸,bà,"father, papa"
桌,zhuō,"table, desk, stand"
菜,cài,"vegetables; dish, order; food"
茶,chá,tea
狗,gǒu,"dog, canis familiaris"
杯,bēi,"cup, glass"
租,zū,"rent, lease; rental; tax"
昨,zuó,"yesterday; in former times, past"
漂,piào,"float, drift; tossed about"
椅,yǐ,"chair, seat"
猫,māo,cat
喂,wèi,interjection to call attention
苹,píng,artemisia; duckweed; apple
为,wèi,"do, handle, govern, act; be"
到,dào,"go to, arrive, been to"
以,yǐ,"by means of; thereby, therefore; consider as; in order to"
要,yào,"necessary, essential; necessity"
就,jiù,"just, simply; to come, go to; to approach, near"
可,kě,"may, can, -able; possibly"
也,yě,also; classical final particle of strong affirmation or identity
得,dé,"obtain, get, gain, acquire"
着,zhe,"make move, take action"
过,guò,"pass, pass through, go across"
道,dào,"path, road, street; method, way"
所,suǒ,"place, location; numerary adjunct"
然,rán,"yes, certainly; pledge, promise"
事,shì,"affair, matter, business; to serve; accident, incident"
经,jīng,classic works; pass through
动,dòng,"move, happen; movement, action"
还,hái,"still, yet, also, besides"
进,jìn,"advance, make progress, enter"
但,dàn,"only; but, however, yet, still"
因,yīn,"cause, reason; by; because (of)"
从,cóng,"from, by, since, whence, through"
日,rì,sun; day; daytime
意,yì,"thought, idea, opinion; think"
它,tā,it; other
长,zhǎng,long; length; excel in; leader
第,dì,"sequence, number; grade, degree"
公,gōng,"fair, equitable; public; duke"
已,yǐ,already; finished; stop
情,qíng,"feeling, sentiment, emotion"
知,zhī,"know, perceive, comprehend"
正,zhèng,"right, proper, correct"
外,wài,"out, outside, external; foreign"
两,liǎng,"two, both, pair, couple; ounce"
间,jiān,"midpoint, space; place, locality"
问,wèn,"ask about, inquire after"
最,zuì,"most, extremely, exceedingly"
手,shǒu,hand
体,tǐ,"body; group, class, body, unit; inferior"
等,děng,wait
新,xīn,"new, recent, fresh, modern"
身,shēn,"body; trunk, hull; rad. no. 158"
表,biǎo,"show, express, manifest, display"
给,gěi,"give; by, for"
次,cì,"order, sequence; next"
门,mén,"gate, door, entrance, opening"
常,cháng,"common, normal, frequent, regular"
教,jiào,"teach, class"
比,bǐ,"to compare, liken; comparison; than"
员,yuán,"member; personnel, staff member"
真,zhēn,"real, actual, true, genuine"
走,zǒu,"walk, go on foot; run; leave"
条,tiáo,"clause, condition; string, stripe"
题,tí,"forehead; title, headline; theme"
别,bié,"separate, other; do not"
报,bào,"report, tell, announce"
务,wù,"affairs, business; must, should"
场,chǎng,"open space, field, market"
件,jiàn,numerary adjunct for article; matter
便,biàn,"convenience, ease; expedient"
司,sī,"take charge of, control, manage; officer"
眼,yǎn,"eye; eyelet, hole, opening"
非,fēi,"not, negative, non-; oppose"
白,bái,"white; pure, unblemished; bright"
思,sī,"think, consider, ponder; final particle"
完,wán,"complete, finish, settle; whole"
色,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty"
路,lù,"road, path, street; journey"
告,gào,"tell, announce, inform; accuse"
边,biān,"edge, margin, side, border"
望,wàng,"to look at, look forward; to hope, expect"
共,gòng,"together with, all, total; to share"
让,ràng,"allow, permit, yield, concede"
运,yùn,"run; simplified form of 運 luck, fortune; ship, transport"
笑,xiào,"smile, laugh, giggle; snicker"
步,bù,"step, pace; walk, stroll"
每,měi,"every, each"
快,kuài,"rapid, quick, speedy, fast; soon"
往,wǎng,"go, depart; past, formerly"
近,jìn,"near, close; approach; intimate"
夫,fū,"man, male adult, husband; those"
准,zhǔn,"approve, allow, permit; in accord"
始,shǐ,"begin, start; then, only then"
远,yuǎn,"distant, remote, far; profound"
备,bèi,"prepare, ready, perfect"
百,bǎi,"one hundred; numerous, many"
离,lí,rare beast; strange; elegant
病,bìng,"illness, sickness, disease"
息,xī,"rest, put stop to, end, cease"
火,huǒ,"fire, flame; burn; anger, rage"
早,zǎo,early; soon; morning
找,zhǎo,"search, seek, look for; find"
吧,ba,emphatic final particle
考,kǎo,"examine, test; investigate"
红,hóng,"red, vermillion; blush, flush"
虽,suī,"although, even if"
希,xī,"rare; hope, expect, strive for"
房,fáng,"house, building; room"
黑,hēi,"black; dark; evil, sinister"
足,zú,"foot; attain, satisfy, enough"
孩,hái,"baby, child; children"
站,zhàn,"stand up; a stand, station"
诉,sù,accuse; sue; inform; narrate
千,qiān,"thousand; many, numerous; very; (Cant.) a cheater, swindler"
男,nán,"male, man; son; baron; surname"
助,zhù,"help, aid, assist"
乐,lè,"happy, glad; enjoyable; music"
球,qiú,"ball, sphere, globe; round"
错,cuò,"error, blunder, mistake; wrong"
晚,wǎn,"night, evening; late"
试,shì,"test, try, experiment"
送,sòng,"see off, send off; dispatch, give"
药,yào,leaf of Dahurian angelica plant; medicine
游,yóu,"to swim; float, drift; wander, roam"
室,shì,"room, home, house, chamber"
您,nín,you polite
帮,bāng,"help, assist; defend; shoe upper"
左,zuǒ,"left; east; unorthodox, improper"
右,yòu,right; west; right-wing
穿,chuān,"penetrate, pierce, drill; wear"
哥,gē,elder brother
弟,dì,"young brother; junior; i, me"
慢,màn,"slow(ly), leisurely, sluggish"
忙,máng,"busy, pressed for time; hustling"
介,jiè,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor"
鱼,yú,fish; surname; KangXi radical 195
跑,pǎo,"run, flee, leave in hurry"
贵,guì,"expensive, costly, valuable"
班,bān,"class, group, grade; squad; job"
票,piào,slip of paper or bamboo; ticket
睛,jīng,eyeball; pupil of eye
旅,lǚ,"trip, journey; travel; traveler"
笔,bǐ,writing brush; write; stroke
卖,mài,sell; betray; show off
旁,páng,"side; by side, close by, near"
阴,yīn,shade; noon
跳,tiào,"jump, leap, vault, bounce; dance"
雪,xuě,"snow; wipe away shame, avenge"
肉,ròu,flesh; meat; KangXi radical 130
馆,guǎn,public building
牛,niú,"cow, ox, bull; KangXi radical93"
纸,zhǐ,paper
歌,gē,"song, lyrics; sing, chant; praise"
床,chuáng,"bed, couch; framework, chassis"
玩,wán,"play with, joke, enjoy"
妻,qī,wife
休,xiū,"rest, stop; retire; do not!"
舞,wǔ,"dance, posture, prance; brandish"
姓,xìng,
妹,mèi,younger sister
汽,qì,"steam, vapor, gas"
课,kè,lesson; course; classwork
懂,dǒng,"understand, comprehend"
绍,shào,"continue, carry on; join"
丈,zhàng,"unit of length equal 3.3 meters; gentleman, man, husband"
洗,xǐ,"wash, rinse; clean, purify"
唱,chàng,"sing, chant, call; ditty, song"
奶,nǎi,
宜,yí,"suitable, right, fitting, proper"
累,lèi,"tired; implicate, involve; bother"
羊,yáng,"sheep, goat; KangXi radical 123"
零,líng,"zero; fragment, fraction"
蛋,dàn,eggs; term of abuse
鸡,jī,chicken
宾,bīn,"guest, visitor; surname; submit"
颜,yán,"face, facial appearance"
瓜,guā,"melon, gourd, cucumber; rad. 97"
晴,qíng,"clear weather, fine weather"
啡,fēi,morphine; coffee
篮,lán,basket
咖,kā,coffee; a phonetic
踢,tī,kick
泳,yǒng,dive; swim
铅,qiān,lead
地,de,"earth; soil, ground; region"
而,ér,and; and then; and yet; but
于,yú,"in, on, at; go to; surname"
自,zì,"self, private, personal; from"
发,fā,"issue, dispatch, send out; hair"
用,yòng,"use, employ, apply, operate; use"
行,xíng,"go; walk; move, travel; circulate"
种,zhǒng,"seed; race, breed; to plant"
成,chéng,"completed, finished, fixed"
方,fāng,"a square, rectangle; a region; local"
法,fǎ,"law, rule, regulation, statute; France, French"
如,rú,"if, supposing; as if; like, as"
当,dāng,"bear, accept, undertake; just"
定,dìng,"decide, settle, fix"
其,qí,"his, her, its, their; that"
主,zhǔ,"master, chief owner; host; lord"
理,lǐ,"reason, logic; manage"
心,xīn,"heart; mind, intelligence; soul"
只,zhǐ,"only, just, simply"
实,shí,"real, true; honest, sincere"
者,zhě,that which; he who; those who
力,lì,"power, capability, influence"
把,bǎ,"hold, take; guard; regard as"
又,yòu,"and, also, again, in addition"
业,yè,"profession, business; GB radical 111"
重,zhòng,"heavy, weighty; double"
物,wù,"thing, substance, creature"
应,yīng,"should, ought to, must"
向,xiàng,"toward, direction, trend"
头,tóu,"head; top; chief, first; boss"
文,wén,"literature, culture, writing"
相,xiāng,"mutual, reciprocal, each other"
被,bèi,
或,huò,"or, either, else; perhaps, maybe"
己,jǐ,"self, oneself; personal, private; 6th heavenly stem"
加,jiā,"add to, increase, augment"
特,tè,"special, unique, distinguished"
信,xìn,"trust, believe; letter"
化,huà,"change, convert, reform; -ize"
世,shì,generation; world; era
位,wèi,"throne; position, post; rank, status; seat"
声,shēng,"sound, voice, noise; tone; music"
提,tí,hold in hand; lift in hand
解,jiě,"loosen, unfasten, untie; explain"
口,kǒu,"mouth; open end; entrance, gate"
平,píng,"flat, level, even; peaceful"
更,gèng,"more, still further, much more"
变,biàn,"change, transform, alter; rebel"
总,zǒng,"collect; overall, altogether"
数,shù,"number; several, count; fate"
安,ān,"peaceful, tranquil, quiet"
才,cái,"talent, ability; just, only"
结,jié,"knot, tie; join, connect"
目,mù,"eye; look, see; division, topic"
感,gǎn,"feel, perceive, emotion"
接,jiē,receive; continue; catch; connect
必,bì,"surely, most certainly; must"
市,shì,"market, fair; city, town; trade"
直,zhí,"straight, erect, vertical"
山,shān,"mountain, hill, peak"
空,kōng,"empty, hollow, bare, deserted"
决,jué,"decide, determine, judge"
马,mǎ,horse; surname; KangXi radical 187
界,jiè,"boundary, limit; domain; society; the world"
放,fàng,"put, release, free, liberate"
像,xiàng,"a picture, image, figure; to resemble"
且,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)"
难,nán,"difficult, arduous, hard; unable"
记,jì,"record; keep in mind, remember"
南,nán,south; southern part; southward
求,qiú,"seek; demand, request; beseech"
据,jù,"to occupy, take possession of; a base, position"
张,zhāng,"stretch, extend, expand; sheet"
该,gāi,"should, ought to, need to"
万,wàn,ten thousand; innumerable
清,qīng,"clear, pure, clean; peaceful"
带,dài,"belt, girdle, band, strap, zone"
风,fēng,"wind; air; manners, atmosphere"
根,gēn,"root, base(d on); foundation"
干,gàn,"oppose, offend; invade; dried"
极,jí,"extreme, utmost, furthest, final"
办,bàn,"manage, do, handle; deal with"
议,yì,"consult, talk over, discuss"
元,yuán,first; dollar; origin; head
单,dān,"single, individual, only; lone"
调,diào,"transfer, move, change; tune"
算,suàn,"count, calculate, figure; plan"
需,xū,"need, require, must"
花,huā,flower; blossoms
城,chéng,"castle; city, town; municipality"
级,jí,"level, rank, class; grade"
复,fù,return; repeat; repeatedly
满,mǎn,"fill; full, satisfied"
越,yuè,"exceed, go beyond; the more ..."
容,róng,"looks, appearance; figure, form"
照,zhào,"shine, illumine, reflect"
须,xū,"must, have to, necessary"
包,bāo,"wrap, pack, bundle; package"
片,piàn,"slice, splinter, strip; rad. 91"
史,shǐ,"history, chronicle, annals"
乎,hū,interrogative or exclamatory final particle
查,chá,"investigate, examine, seek into"
轻,qīng,"light; easy, simple; gentle"
易,yì,change; easy
除,chú,"eliminate, remove, except"
阿,ā,
李,lǐ,plum; judge; surname
图,tú,"diagram; chart, map, picture"
历,lì,history; calendar
突,tū,"suddenly, abruptly, unexpectedly"
周,zhōu,Zhou dynasty; circumference
较,jiào,"compare; comparatively, more"
注,zhù,"concentrate, focus, direct"
选,xuǎn,"choose, select; elect; election"
响,xiǎng,"make sound, make noise; sound"
参,cān,"take part in, intervene; ginseng"
半,bàn,half
节,jié,"knot, node, joint; section"
护,hù,"protect, guard, defend, shelter"
音,yīn,"sound, tone, pitch, pronunciation"
跟,gēn,"heel; to follow, accompany; with"
留,liú,"stop, halt; stay, detain, keep"
讲,jiǎng,explain; discuss; talk
料,liào,"consider, conjecture; materials, ingredients"
终,zhōng,"end; finally, in the end"
答,dá,"answer, reply; return; assent to"
黄,huáng,yellow; surname
奇,qí,"strange, unusual, uncanny, occult"
段,duàn,"section, piece, division"
故,gù,"ancient, old; reason, because"
河,hé,river; stream; yellow river
害,hài,"injure, harm; destroy, kill"
双,shuāng,"set of two, pair, couple; both"
境,jìng,"boundary, frontier; area, region"
愿,yuàn,"sincere, honest, virtuous"
网,wǎng,net; network; KangXi radical 122
育,yù,"produce, give birth to; educate"
船,chuán,"ship, boat, vessel"
脸,liǎn,face; cheek; reputation
刻,kè,"carve, engrave; quarter hour"
刚,gāng,"hard, tough, rigid, strong"
般,bān,"sort, manner, kind, category"
怕,pà,"to fear, be afraid of; apprehensive"
假,jiǎ,"falsehood, deception; vacation"
久,jiǔ,"long time (ago); time passage, grow late"
拿,ná,"take, hold, grasp; bring; with"
阳,yáng,
急,jí,"quick, quickly; urgent, pressing"
居,jū,"live, dwell, reside, sit"
环,huán,jade ring or bracelet; ring
树,shù,"tree; plant; set up, establish"
层,céng,"storey, layer, floor, stratum"
句,jù,sentence
简,jiǎn,"simple, terse, succinct, a letter"
卡,kǎ,"card, punch card; calorie"
担,dān,"carry, bear, undertake"
静,jìng,"quiet, still, motionless; gentle"
检,jiǎn,check; examine
差,chà,"to differ; different, wrong; nearly, almost; an officer"
角,jiǎo,"horn; angle, corner; point"
皮,pí,"skin, hide, fur, feather; outer"
啊,a,exclamatory particle
超,chāo,"jump over, leap over; surpass"
银,yín,"silver; cash, money, wealth"
怪,guài,"strange, unusual, peculiar"
香,xiāng,"fragrant, sweet smelling, incense"
铁,tiě,"iron; strong, solid, firm"
草,cǎo,"grass, straw, thatch, herbs"
脚,jiǎo,"leg, foot; base, leg, foundation"
酒,jiǔ,"wine, spirits, liquor, alcoholic beverage"
顾,gù,look back; look at; look after
换,huàn,change
闻,wén,hear; smell; make known; news
坏,huài,"rotten, spoilt, bad, broken down"
楚,chǔ,name of feudal state; clear
楼,lóu,building of two or more stories
画,huà,"a painting, picture, drawing; to draw"
耳,ěr,"ear; merely, only; handle"
短,duǎn,"short; brief; deficient, lacking"
遇,yù,"meet, come across, encounter"
康,kāng,"peaceful, quiet; happy, healthy"
旧,jiù,"old, ancient; former, past"
春,chūn,spring; wanton
附,fù,"adhere to, append; rely on near to"
礼,lǐ,social custom; manners; courtesy
板,bǎn,"plank, board; iron or tin plate"
婚,hūn,"get married; marriage, wedding"
鲜,xiān,fresh; delicious; attractive
词,cí,"words; phrase, expression"
择,zé,"select, choose, pick out"
健,jiàn,"strong, robust, healthy; strength"
借,jiè,borrow; lend; make pretext of
园,yuán,"garden; park, orchard"
牙,yá,"tooth, molars, teeth; serrated"
束,shù,"bind, control, restrain; bale"
练,liàn,"to practice, drill, exercise, train"
爷,yé,"father, grandfather"
嘴,zuǐ,"mouth, lips"
戏,xì,"theatrical play, show"
典,diǎn,"law, canon; documentation; classic, scripture"
盘,pán,"tray, plate, dish; examine"
忘,wàng,"forget; neglect; miss, omit"
赛,sài,"compete, contend; contest, race"
趣,qù,
迎,yíng,"receive, welcome, greet"
冰,bīng,ice; ice-cold
努,nǔ,"to exert, strive, make an effort; to pout"
绿,lǜ,green; chlorine
街,jiē,"street, road, thoroughfare"
灯,dēng,"lantern, lamp"
夏,xià,"summer; great, grand, big"
秋,qiū,"autumn, fall; year"
末,mò,"final, last, end; insignificant"
蓝,lán,blue; indigo plant; surname
烧,shāo,burn; bake; heat; roast
哭,kū,"weep, cry, wail"
冒,mào,"risk, brave, dare"
惯,guàn,"habit, custom; habitually, usual"
鸟,niǎo,bird; KangXi radical 196
季,jì,quarter of year; season; surname
鼻,bí,nose; first; KangXi radical 209
腿,tuǐ,"legs, thighs"
迟,chí,"late, tardy; slow; delay"
辆,liàng,numerary adjunct for vehicles
净,jìng,"clean, pure; cleanse"
冬,dōng,"winter, 11th lunar month"
骑,qí,ride horseback; mount; cavalry
叔,shū,
爬,pá,"crawl, creep; climb; scramble"
扫,sǎo,"sweep, clear away; exterminate"
箱,xiāng,"case, box, chest, trunk"
舒,shū,"open up, unfold, stretch out; comfortable, easy"
绩,jī,spin; achievements
饮,yǐn,drink; swallow; kind of drink
朵,duǒ,cluster of flowers; earlobe
鞋,xié,"shoes, footwear in general"
邮,yóu,"postal, mail; post office"
邻,lín,neighbor; neighborhood
聪,cōng,"intelligent, clever, bright"
梯,tī,"ladder, steps, stairs; lean"
瓶,píng,"jug, pitcher, vase, jar, bottle"
疼,téng,"aches, pains; be fond of; love"
熊,xióng,a bear; brilliant; bright; surname
帽,mào,"hat, cap; cap-like tops"
炼,liàn,"smelt, refine; distill, condense"
搬,bān,"transfer, move, remove, shift"
刷,shuā,"brush; clean with brush, scrub"
瘦,shòu,"thin, emaciated, lean; meager"
斤,jīn,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69"
胖,pàng,"fat, obese; fatty"
饿,è,hungry; greedy for; hunger
聊,liáo,"somewhat, slightly, at least"
碗,wǎn,"bowl, small dish"
渴,kě,"thirsty, parched; yearn, pine"
饱,bǎo,
甜,tián,"sweet, sweetness"
矮,ǎi,"short, dwarf; low"
裤,kù,"trousers, pants"
衫,shān,shirt; robe; gown; jacket
伞,sǎn,"umbrella, parasol, parachute"
姨,yí,
刮,guā,"shave, pare off, scrape"
糕,gāo,"cakes, pastry"
裙,qún,"skirt, apron, petticoat"
衬,chèn,underwear; inner garments
锻,duàn,"forge metal; temper, refine"
澡,zǎo,"wash, bathe"
啤,pí,beer
蕉,jiāo,banana; plantain
筷,kuài,chopsticks
